Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,Bath Towel,,,,,pcs,,,,,,,,11000,1/1/2012,5/1/2012,,95,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,"Bath Towel, asst color, 68.58x127cm",,,,,pcs,,,,,,,,3581,1/2/2012,5/2/2012,,52,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,"Blanket, family size, 70x90 (Jakarta/Iloco)",,,,,pcs,,,,,,,,3000,1/3/2012,5/3/2012,,99,PHP,A. M. Ramos,,,,
NROC Warehouse C,Warehouse C,,Textile/Curtain/etc,,"Blanket, family size, 80x90 (Rose Brand)",,,,,pcs,,,,,,,,2325,1/4/2012,5/4/2012,,99,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Blanket, used",,,,,pcs,,,,,,,,160,1/5/2012,5/5/2012,,30,PHP,Filipino Expatriate Wire (Singapore),,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Blanket, used heavy",,,,,pcs,,,,,,,,70,1/6/2012,5/6/2012,,50,PHP,Filipino Expatriate Wire (Singapore),,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Briefs, for men (XL: 16packs x5= 80pcs, L: 10packs x5= 50pcs M: 12packs x5+3pcs= 63pcs, S: 16packs x5= 80pcs)",,,,,box,,,,,,,,1,1/7/2012,5/7/2012,,8190,PHP,Winace Holding Company,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Chain, steel, asstd sizes",,,,,bags,,,,,,,,549,1/8/2012,5/8/2012,,0,PHP,China,,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"CHEMICAL PROTECTIVE BOOTS, Black (6pairs/case)",,,,,cs,,,,,,,,19,1/9/2012,5/9/2012,,6000,PHP,Second Harvest Japan,,,,
NROC Warehouse E,Warehouse E,,Repacked,,Clothing packs,,,,,pck,,,,,,,,27177,1/10/2012,5/10/2012,,100,PHP,Various donors,,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Clothing, used, assorted, blouse, t shirt, sweatshirt, children t shirt, etc.)",,,,,kgs,,,,,,,,1487,1/11/2012,5/11/2012,,50,PHP,"Sunlove, Singapore c/o BOC (2011-09-008)",,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Coffee 3 in 1, Kopiko, 20g",,,,,pcs,,,,,,,,284560,1/12/2012,5/12/2012,,3.69,PHP,Tridharma Marketing,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Coffee 3 in 1, San Mig",,,,,pcs,,,,,,,,4580,1/13/2012,5/13/2012,,3.645,PHP,Puregold Price Club,,,,
NROC Warehouse C,Warehouse C,,Sleeping Gear,,"Comforter, used (15kilos)",,,,,pcs,,,,,,,,10,1/14/2012,5/14/2012,,40,PHP,Filipino Expatriate Wire (Singapore),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Cord Reel,,,,,Unit,,,,,,,,2,1/15/2012,5/15/2012,,14770,PHP,JICA (RN 08-06-007),,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Corned Beef (48tins/box) 150g, Bingo1",,,,,tins,,,,,,,,199060,1/16/2012,5/16/2012,,15.59395833,PHP,Foodsphere Inc.,,,,
NROC Warehouse A,Warehouse A,,Food Items,,"Corned Beef (48tins/box) 150g, Bingo2",,,,,tins,,,,,,,,400032,1/17/2012,5/17/2012,,15.59395833,PHP,Foodsphere Inc.,,,,
