Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,"Tiles, Sanlolus 298x300mm 17pcs/box (Ceramics)",,,,,bx,,,,,,,,117,,,,680,PHP,BOC (RN 2010-05-004),,,,
NROC Warehouse B ,Warehouse B ,,KIDS SUPPLIES,,"Toys, used, assorted",,,,,pcs,,,,,,,,25,,,,10,PHP,DSWD FO CAR,,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Trench coat, used (135 pcs)",,,,,kgs,,,,,,,,143,,,,50,PHP,BOC c/o 140 bales (RN 09-03-002),,,,
NROC Warehouse C,Warehouse C,,Clothings,,"Trench coat, used (75kilos)",,,,,pcs,,,,,,,,61,,,,30,PHP,BOC c/o 540 bales (RN 2011-06-004),,,,
NROC Warehouse C,Warehouse C,,Houseware Supplies,,"Turner, aluminum, for big kawa, jumbo",,,,,pcs,,,,,,,,117,,,,45,PHP,Merla B. Andres,,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Ufilta bottles (Water Filtration system),,,,,pcs,,,,,,,,900,,,,1077.97,PHP,"Aquafilta, Malaysia (2011-09-008)",,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Wash basin with fittings,,,,,set,,,,,,,,150,,,,1858.19,PHP,China (RN 07-11-013),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Water Tank,,,,,Unit,,,,,,,,1,,,,141570,PHP,JICA (RN 08-06-007),,,,
NROC Warehouse C,Warehouse C,,Medical Equipment/Supplies,,"Wheelchair, 24"" wheels",,,,,sets,,,,,,,,4,,,,1500,PHP,PGH PhiKappa (2010-07-005),,,,
NROC Warehouse C,Warehouse C,,Shelter/Housing/Electrical Supplies/Survival,,Wooden Door ,,,,,pcs,,,,,,,,496,,,,482,PHP,China (RN 07-12-015),,,,
