Warehouse,Warehouse Organisation,Catalog,Category,Category Code,Item Name,Item Code,Brand,Model,Year,Unit of Measure,Pack,Pack Quantity,Weight,Length,Width,Height,Volume,Quantity,Received Date,Expiry Date,Unit,Unit Value,Currency,Supplier/Donor,Owned By (Organization/Branch),Tracking Number,Bin,Comments
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, Aqualife, 500mlx24",,,,,case,,,,,,,,8,8/8/2012,,,264,PHP,Kriszel Siasoyco Nicole Factlar,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, Natures Spring, 500ml",,,,,bottle,,,,,,,,20,8/9/2012,,,11,PHP,DSWD Central Office (DLOC 1208-080),,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, Magnolia Purewater (500mlx24)",,,,,bottle,,,,,,,,286557,8/12/2012,4/1/2013,,11,PHP,San Miguel Corporation,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, 500ml",,,,,bottle,,,,,,,,140,9/3/2012,,,11,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, 500ml",,,,,bottle,,,,,,,,35,9/3/2012,,,11,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, 500ml",,,,,bottle,,,,,,,,27,9/3/2012,,,11,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, Nature Spring, 500mlx35)",,,,,box,,,,,,,,3,9/7/2012,1/1/2014,,385,PHP,Office of Civil Defense,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, 325ml",,,,,bottle,,,,,,,,10,8/8/2012,,,9,PHP,Fabielyn Lanuza & Mary Jonley Bargarita,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, Bonus, 325mlx48",,,,,box,,,,,,,,2,9/11/2012,12/1/2013,,408,PHP,DSWD Central Office,,,,
NROC A WAREHOUSE,,,Food Items,,"Bottled Water, Aqualize, 350ml",,,,,bottle,,,,,,,,36,8/9/2012,,,9,PHP,DSWD Central Office (DLOC 1208-080),,,,
NROC A WAREHOUSE,,,Food Items,,"Canned Tuna, 160g",,,,,tin,,,,,,,,20,5/18/2012,5/1/2013,,25,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Canned Tuna, 155g",,,,,tin,,,,,,,,3,5/18/2012,1/1/2013,,25,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Coffee, Nescafe Classic, 25g",,,,,pcs,,,,,,,,9,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Coffee, Nescafe Classic, 50g",,,,,pcs,,,,,,,,1,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned beef, Beef X, 200g",,,,,tin,,,,,,,,4,5/18/2012,9/1/2013,,35,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned beef, Beef X, 340g",,,,,tin,,,,,,,,2,5/18/2012,8/1/2013,,60,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned beef, 326g",,,,,tin,,,,,,,,8,8/8/2012,,,60,PHP,Michael Lopez,,,,
NROC A WAREHOUSE,,,Food Items,,"Corned Beef, youngstown, 150gx100",,,,,box,,,,,,,,42,8/9/2012,8/8/2014,,"2,425.00",PHP,DSWD Central Office (DLOC 1208-080),,,,
NROC A WAREHOUSE,,,Food Items,,"Del Monte Fresh Cut Whole KernelCorn, 420g",,,,,can,,,,,,,,9,1/5/2012,7/1/2014,,70,PHP,ACS of the Philippines,,,,
NROC A WAREHOUSE,,,Food Items,,"Del Monte Tidbits Pineapple, 227g",,,,,can,,,,,,,,6,1/5/2012,9/1/2013,,45,PHP,ACS of the Philippines,,,,
NROC A WAREHOUSE,,,Food Items,,"Del Monte Sweetened Pineapple, 1.36L",,,,,can,,,,,,,,10,1/5/2012,7/1/2013,,60,PHP,ACS of the Philippines,,,,
NROC A WAREHOUSE,,,Food Items,,"Del Monte Tidbits Pineapple, 432g",,,,,pcs,,,,,,,,1,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Del Monte French Style Green Beans, 411g",,,,,pcs,,,,,,,,1,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Hobi Bihon, 454g",,,,,pack,,,,,,,,3,9/3/2012,,,,PHP,Department of Education,,,,
NROC A WAREHOUSE,,,Food Items,,"Kernel Corn, Americana Whole, 425g",,,,,tin,,,,,,,,8,5/18/2012,11/1/2013,,70,PHP,Filipino Community in Kuwait,,,,
NROC A WAREHOUSE,,,Food Items,,"Luncheon Meat, chicken, 200g",,,,,tin,,,,,,,,38,5/18/2012,3/1/2013,,36,PHP,Filipino Community in Kuwait,,,,
